packet_id,difficulty,doc_type,category,prompt_file,entity_count,total_value
N5_nightmare_70005,N5_nightmare,acord_131,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_137,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_140,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_160,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_23,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_24,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_25,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_27,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_28,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_35,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_45,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,acord_75,acord_form,acord_form_extraction.md,,
N5_nightmare_70005,N5_nightmare,broker_narrative,narrative,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,dec_page,dec_page,dec_page_extraction.md,,
N5_nightmare_70005,N5_nightmare,driver_schedule,driver_schedule,driver_schedule_extraction.md,40,
N5_nightmare_70005,N5_nightmare,driver_schedule_excel,driver_schedule,driver_schedule_extraction.md,40,
N5_nightmare_70005,N5_nightmare,financial_statement,financial_statement,financial_statement_extraction.md,,
N5_nightmare_70005,N5_nightmare,financial_statement_excel,financial_statement,financial_statement_extraction.md,,
N5_nightmare_70005,N5_nightmare,hybrid_workbook,workbook,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,loss_run,loss_run,loss_run_extraction.md,49,1529775.94
N5_nightmare_70005,N5_nightmare,loss_run_csv,loss_run,loss_run_extraction.md,45,1443562.39
N5_nightmare_70005,N5_nightmare,loss_run_excel,loss_run,loss_run_extraction.md,45,1443562.39
N5_nightmare_70005,N5_nightmare,policy_form,narrative,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,sov,sov,sov_extraction.md,9,142384000
N5_nightmare_70005,N5_nightmare,sov_excel,sov,sov_extraction.md,11,142384000
N5_nightmare_70005,N5_nightmare,supplemental_app,narrative,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,supplemental_app_trucking,narrative,narrative_extraction.md,,
N5_nightmare_70005,N5_nightmare,supplemental_schedule_excel,workbook,narrative_extraction.md,,
